当前年份	2026																																																																													
																																																																														
	2025	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	
人口出生率 (‰)	5.63	6.77	6.39	6.77	7.52	8.52	10.41	10.86	12.64	13.57	11.99	13.83	13.03	14.57	13.27	11.9	11.95	12.14	12.1	12.09	12.4	12.29	12.41	12.86	13.38	14.03	14.64	15.64	16.57	16.98	17.12	17.7	18.09	18.24	19.68	21.06	21.58	22.37	23.33	22.43	21.04	19.9	20.19	22.28	20.91	18.21	17.82	18.25	19.03	20.01	23.13	24.95	28.07	29.92	30.74	33.59	34.25	35.75	34.12	35.21	38	39.34	43.6	37.22	18.13	20.86	24.78	29.22	34.03	31.9	32.6	37.97	37	37	37.8	37	36	
人口死亡率 (‰)	8.04	7.76	7.87	7.37	7.18	7.07	7.09	7.08	7.06	7.04	7.07	7.12	7.13	7.13	7.14	7.11	7.08	7.06	6.93	6.81	6.51	6.42	6.4	6.41	6.43	6.45	6.46	6.5	6.51	6.56	6.57	6.49	6.64	6.64	6.7	6.67	6.54	6.64	6.72	6.86	6.78	6.82	6.9	6.6	6.36	6.34	6.21	6.25	6.91	7.29	7.36	7.38	7.08	7.65	7.34	7.64	8.06	8.25	8.47	8.87	9.5	11.56	10.1	10.08	14.33	25.43	14.59	11.98	10.8	11.4	12.28	13.18	14	17	17.8	18	20	
人口自然增长率 (‰)	-2.41	-0.99	-1.48	-0.6	0.34	1.45	3.32	3.78	5.58	6.53	4.93	6.71	5.9	7.43	6.13	4.79	4.87	5.08	5.17	5.28	5.89	5.87	6.01	6.45	6.95	7.58	8.18	9.14	10.06	10.42	10.55	11.21	11.45	11.6	12.98	14.39	15.04	15.73	16.61	15.57	14.26	13.08	13.29	15.68	14.55	11.87	11.61	12	12.12	12.72	15.77	17.57	20.99	22.27	23.4	25.95	26.19	27.5	25.65	26.34	28.5	27.78	33.5	27.14	3.8	-4.57	10.19	17.24	23.23	20.5	20.32	24.79	23	20	20	19	16	
																																																																														
	2025	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	
年末总人口 (万人)	140489	140828	140967	141175	141260	141212	141008	140541	140011	139232	138326	137646	136726	135922	134916	134091	133450	132802	132129	131448	130756	129988	129227	128453	127627	126743	125786	124761	123626	122389	121121	119850	118517	117171	115823	114333	112704	111026	109300	107507	105851	104357	103008	101654	100072	98705	97542	96259	94974	93717	92420	90859	89211	87177	85229	82992	80671	78534	76368	74542	72538	70499	69172	67296	65859	66207	67207	65994	64653	62828	61465	60266	58796	57482	56300	55196	54167	
男性人口 (万人)	71685	71909	72032	72206	72311	72357	72039	71864	71650	71307	70857	70522	70063	69660	69161	68748	68647	68357	68048	67728	67375	66976	66556	66115	65672	65437	64692	63940	63131	62200	61808	61246	60472	59811	59466	58904	58099	57201	56290	55581	54725	53848	53152	52352	51519	50785	50192	49567	48908	48257	47564	46727	45876	44813	43819	42686	41289	40226	39115	38189	37128	36142	35533	34517	33880	34283	34890	34195	33469	32536	31809	31242	30468	29833	29231	28669	28145	
女性人口 (万人)	68804	68919	68935	68969	68949	68855	68969	68677	68361	67925	67469	67124	66663	66262	65755	65343	64803	64445	64081	63720	63381	63012	62671	62338	61955	61306	61094	60821	60495	60189	59313	58604	58045	57360	56357	55429	54605	53825	53010	51926	51126	50509	49856	49302	48553	47920	47350	46692	46066	45460	44856	44132	43335	42364	41410	40306	39382	38308	37253	36353	35410	34357	33639	32778	31979	31924	32317	31799	31184	30292	29656	29024	28328	27649	27069	26527	26022	
城镇人口 (万人)	95380	94350	93267	92071	91425	90220	88426	86433	84343	81924	79302	76738	74502	72175	69927	66978	64512	62403	60633	58288	56212	54283	52376	50212	48064	45906	43748	41608	39449	37304	35174	34169	33173	32175	31203	30195	29540	28661	27674	26366	25094	24017	22274	21480	20171	19140	18495	17245	16669	16341	16030	15595	15345	14935	14711	14424	14117	13838	13548	13313	13045	12950	11646	11659	12707	13073	12371	10721	9949	9185	8285	8249	7826	7163	6632	6169	5765	
乡村人口 (万人)	45109	46478	47700	49104	49835	50992	52582	54108	55668	57308	59024	60908	62224	63747	64989	67113	68938	70399	71496	73160	74544	75705	76851	78241	79563	80837	82038	83153	84177	85085	85947	85681	85344	84996	84620	84138	83164	82365	81626	81141	80757	80340	80734	80174	79901	79565	79047	79014	78305	77376	76390	75264	73866	72242	70518	68568	66554	64696	62820	61229	59493	57549	57526	55636	53152	53134	54836	55273	54704	53643	53180	52017	50970	50319	49668	49027	48402	
